,DBH.density,DBH.trees.ha,THT.density,THT.trees.ha
1 - 5,1,0.666666666666667,0,0
5 - 10,114,76,5,3.33333333333333
10 - 15,16,10.6666666666667,30,20
15 - 20,1,0.666666666666667,92,61.3333333333333
20 - 25,0,0,5,3.33333333333333
25>,0,0,0,0
Total,132,88,132,88
