,RMSE,RSQUARED,MAPE,BIAS,MAE,AIC,BIC,Accuracy(%)
Power,1.405,0.755,0.075,-0.011,1.078,336.693,344.32,1.06
Gomperz,1.218,0.816,0.06,0,0.837,311.765,321.94,6.38
Logistics,1.218,0.816,0.06,0,0.845,311.793,321.97,5.32
Naslund,1.3,0.79,0.068,0,0.973,322.029,329.66,3.19
Chapman,1.218,0.816,0.06,0,0.835,311.802,321.98,7.45
Weibull,1.219,0.815,0.06,0,0.845,311.93,322.1,NA
