,a,b,c
Power,3.562,0.68,-
Gomperz,20.177,5.233,-
Logistics,19.778,12.096,0.458
Naslund,-8.326,11.123,-
Chapman,20.29,0.341,4.34
Weibull,19.691,0.026,1.928
