Tree.SNO,Tree.PNO,SPECIES,DB.cm.,DIAMETER,HEIGHT,CROWN.DIAMETER,Plot
131,2,Parkia biglobosa,24.2,17.7,14.5,12.7,P7
132,3,Prosopis africana,17.3,11.2,11,8.2,P7
134,5,Bukia africana,10,8.3,5.9,3.35,P7
135,6,Strychinof spinosa,7.5,6.5,4.7,5.4,P7
136,7,Bukia africana,12.5,9.2,8.2,6.25,P7
138,9,Ficus sycomorus,6.5,5.6,5.1,3.95,P7
139,10,Ficus sycomorus,17.4,8.3,7.5,5.65,P7
140,11,Prosopis africana,13.7,10.2,6.8,7.55,P7
142,2,Vitex doniana,14.2,11.9,8.2,7.9,P8
143,3,Daniella oliveri,20.5,18.4,18,14.65,P8
144,4,Stereosperimum kunthianum,6.8,4.3,4.5,4.05,P8
146,6,Prosopis africana,13.1,11.7,7.5,6.55,P8
147,7,Magifera indica,9.2,7.7,6.8,7.55,P8
148,8,Daniella oliveri,18.6,15.6,12.8,10,P8
150,10,Daniella oliveri,18.3,15.1,10.3,10.2,P8
151,11,Sterculia setigera,12.6,7.8,5.6,4.85,P8
152,1,Parkia biglobosa,15.1,14,9.9,10.4,P9
154,3,Daniella oliveri,12.4,9.9,9,5.6,P9
155,4,Daniella oliveri,13.7,11.3,10.3,8.2,P9
156,5,Prosopis africana,21.2,15.4,11.1,9.75,P9
158,7,Daniella oliveri,18.2,16.2,13.9,11.21,P9
159,8,Daniella oliveri,19.1,15.8,11.2,10.97,P9
160,9,Parkia biglobosa,13.7,11.1,9.5,6.65,P9
162,1,Daniella oliveri,18.6,16.1,13.2,11.65,P10
163,2,Vitex doniana,11.2,8.3,6.1,7.15,P10
164,3,Vitex doniana,7,6.1,4.5,5.75,P10
166,5,Ficus exaspirata,7.8,7,4.5,8.6,P10
167,6,Daniella oliveri,15.3,12.7,12.8,8.8,P10
168,7,Vitex doniana,17.5,15.3,5.5,9.42,P10
170,9,Elaeis guineesis,23.6,19.2,9.3,11.3,P10
171,10,Lophira lanceolata,9.5,8,4.9,5.65,P10
172,11,Ficus sycomorus,10.8,9.1,6.1,6.15,P10
174,13,Prosopis africana,19.1,17.3,13.5,12.1,P10
175,1,Daniella oliveri,15.3,11.9,9,8.45,P11
176,2,Elaeis guineesis,20.8,16.5,10.2,10.2,P11
178,4,Parkia biglobosa,9.9,8,5.1,5.15,P11
179,5,Daniella oliveri,10,8.9,7.8,5.65,P11
180,6,Khaya senegalensis,22.4,21.1,17.1,16.81,P11
182,8,Elaeis guineesis,12.7,11.6,6,5.5,P11
183,9,Elaeis guineesis,17,13,8.1,11.2,P11
184,10,Ficus sur,7,6.4,3.9,7.6,P11
186,12,Khaya senegalensis,15.2,12.9,11.3,11.97,P11
