Tree SNO,Tree PNO,SPECIES,DB(cm),DIAMETER,HEIGHT,CROWN-DIAMETER,PLOT,WOOD-DENSITY,FOREST,COUNT
75,3,Elaeis guineesis,16.9,14,9.7,8.45,P4,0.6,FOR,1
76,4,Khaya senegalensis,16.5,15,12,11.85,P4,0.648,FOR,1
77,5,Elaeis guineesis,20.1,14.6,7.2,9.2,P4,0.6,FOR,1
78,6,Pterocarpus erinaceus,7.3,6.4,4.1,5.5,P4,0.6,FOR,1
79,7,Elaeis guineesis,19.8,17.3,8,10.7,P4,0.6,FOR,1
80,8,Parkia biglobosa,12.7,10.6,8.3,7.35,P4,0.525,FOR,1
81,9,Khaya senegalensis,15.1,12.7,13,11.85,P4,0.648,FOR,1
82,10,Khaya senegalensis,8.3,7.4,6,4.65,P4,0.648,FOR,1
83,11,Kigelia africana,10.5,9.2,8.3,9.25,P4,0.6,FOR,1
84,12,Kigelia africana,10.8,9.7,7.2,8.9,P4,0.6,FOR,1
85,13,Parkia biglobosa,11.1,9.5,7.1,4.1,P4,0.525,FOR,1
86,14,Lannea schimperianna,19.1,17.2,11,11.31,P4,0.6,FOR,1
87,15,Parkia biglobosa,7.1,6.2,3.1,4.05,P4,0.525,FOR,1
88,16,Sarcocephalus latifolius,8.3,5.1,4.5,3.95,P4,0.6,FOR,1
89,17,Khaya senegalensis,14.6,12.9,10.8,11.8,P4,0.648,FOR,1
90,18,Parkia biglobosa,17.8,12.4,11.9,7.9,P4,0.525,FOR,1
91,19,Pseuplocedela kotshyi,8.9,6,4.8,3.5,P4,0.6,FOR,1
92,20,Parkia biglobosa,13.4,11.1,8.2,9.9,P4,0.525,FOR,1
93,1,Melicia excelsa,8.6,8,5.8,9.8,P5,0.6,FOR,1
94,2,Crosopteryx febrifuga,9.2,7.4,5,5.6,P5,0.6,FOR,1
95,3,Lannea schimperianna,8,6.5,3.9,3.95,P5,0.6,FOR,1
96,4,Anogeissus leiocarpus,12.4,8.8,8.7,7.9,P5,0.6,FOR,1
97,5,Daniella oliveri,9.5,8.8,7.6,6.7,P5,0.533,FOR,1
98,6,Khaya senegalensis,12.2,10.8,10.3,8.05,P5,0.648,FOR,1
99,7,Anogeissus leiocarpus,7.6,6.8,3.1,5.55,P5,0.6,FOR,1
