,Shape,Scale,Location,Rate
Weibull,2.9,12.674,-,-
Gamma,7.66,-,-,0.678
Lognormal,-,0.371,2.358,-
Normal,-,4.115,11.301,-
Cauchy,-,2.52,10.552,-
Exponential,-,-,-,0.088
Logistics,-,2.323,11.029,-
