,Statistics,Rank,AIC,BIC
Weibull,1.084,3,1052.79,1059.25
Gamma,0.234,1,1038.52,1044.97
Lognormal,0.379,2,1040.45,1046.9
Normal,1.373,5,1058.1,1064.55
Cauchy,4.037,6,1121.1,1127.55
Exponential,35.699,7,1276.06,1279.29
Logistics,1.193,4,1057.58,1064.03
