,Training_Diameter,Testing_Diameter,All_Diameter,Training_Crown_Diameter,Testing_Crown_Diameter,All_Crown_Diameter
Mean,8.44,7.88,8.28,5.94,5.82,5.9
Minimum,5.47,1.21,1.21,3.05,2.1,2.1
Maximum,15,13.18,15.21,9.8,8.7,9.8
Standard_Deviation,1.95,2.12,2.01,1.44,1.62,1.49
Obsersavations(n),94,38,132,94,38,132
