,RMSE,RSQUARED,MAPE,BIAS,MAE,AIC,BIC,Accuracy(%)
Power_Values,2.053,0.825,0.165,0.044,1.631,959.593,969.81,2.24
Curtis,2.536,0.732,0.186,0,1.887,1053.813,1064.03,1.35
Logistics,2.014,0.831,0.166,-0.01,1.621,953.178,966.81,1.79
Naslund,2.291,0.781,0.184,0,1.801,1008.564,1018.79,2.69
