,RMSE,RSQUARED,MAPE,BIAS,MAE,AIC,BIC,Accuracy(%)
Model 1,1.0187,0.6608,0.111,-0.103,0.795,111.488,117.71,0
Model 2,1.105,0.5958,0.121,-0.046,0.906,117.006,121.67,0
Model 3,1.1904,0.544,0.133,-0.204,0.924,124.042,128.71,7.14
Model 4,1.0159,0.6632,0.111,-0.107,0.791,111.317,117.54,0
