S/no,PLOT NO,SPECIES,DB,DBH,THT(m),BA,WD,AGB(kg),Trees/ha,AGB(kg)/ha
66,P3,Gmelina arborea,60.2,29.9,7.3,0.0703,0.425,154.342,0.529,81.647
67,P3,Gmelina arborea,60.2,33.7,7.4,0.0894,0.425,197.743,0.529,104.606
68,P3,Gmelina arborea,59.8,46.5,7.5,0.1696,0.425,374.292,0.529,198.001
69,P4,Tectona grandis,18.1,14.5,4.8,0.0165,0.615,35.679,0.529,18.874
70,P4,Tectona grandis,18.1,15.0,4,0.0176,0.615,31.815,0.529,16.830
71,P4,Tectona grandis,21.6,17.8,4.3,0.0249,0.615,48.063,0.529,25.425
72,P4,Tectona grandis,26.1,20.4,4.7,0.0326,0.615,68.032,0.529,35.989
73,P4,Tectona grandis,21.5,14.3,4,0.0161,0.615,29.225,0.529,15.460
74,P4,Tectona grandis,16.9,12.6,4.3,0.0124,0.615,24.317,0.529,12.863
75,P4,Tectona grandis,16.2,13.0,4,0.0134,0.615,24.369,0.529,12.891
76,P4,Tectona grandis,19.4,14.5,4.3,0.0165,0.615,32.047,0.529,16.953
77,P4,Daniella olivera,16.5,12.6,4,0.0124,0.533,19.721,0.529,10.432
