,AGB.kg,AGB.tons,AGB.kg.ha,AGB.tons.ha
Mean,72.5,0.072,29,0.029
Standard Deviation,178.4,0.178,71.4,0.071
Minimum,3.5,0.004,1.4,0.001
Maximum,1939.9,1.94,776,0.776
Sample Size,299,299,299,299
