,Trees.ha,AGB.tons.ha,AGC.tons.ha
1 - 10,76.8,0.5,0.2
10 - 20,34.4,1.1,0.5
20 - 30,7.2,1.1,0.4
30 - 40,0.8,0.4,0.2
40 - 50,0.4,0.3,0.1
50>,0,0,0
Total,119.6,3.4,1.4
