,Shape,Scale,Location,Rate
Weibull,2.032,11.685,-,-
Gamma,5.14,-,-,0.499
Lognormal,-,0.422,2.232,-
Normal,-,5.413,10.301,-
Cauchy,-,1.881,8,-
Exponential,-,-,-,0.097
Logistics,-,2.583,9.387,-
