,Training_Diameter,Testing_Diameter,All_Diameter,Training_Crown_Diameter,Testing_Crown_Diameter,All_Crown_Diameter
Mean,10.49,9.93,10.33,7.59,7.31,7.51
Minimum,1,4.5,1,3.1,3.4,3.1
Maximum,24,24.8,24.8,17.5,17.5,17.5
Standard_Deviation,3.72,4.17,3.86,2.55,2.93,2.66
Obsersavations(n),214,86,300,214,86,300
