"","residuals(model_power)"
"1",-2.07079202261863
"2",-1.85625469887937
"3",-2.57350520506638
"4",-2.65206095957549
"5",-2.09345639934022
"6",-2.62080130059614
"7",-2.11786827504336
"8",-2.70838559519345
"9",-2.26557925277559
"10",-1.78699758340126
"11",-2.7210806015839
"12",-2.68844905408433
"13",-2.64556339636535
"14",-2.15206095957549
"15",-2.65332854608666
"16",-2.802234311016
"17",-1.42980192782518
"18",-0.866712780283591
"19",-2.13874672920724
"20",3.1547067507984
"21",2.82688972602698
"22",3.22649479493362
"23",1.25291153997743
"24",1.14673458192254
"25",1.25291153997743
"26",2.5931674791521
"27",0.392806062991096
"28",1.8931674791521
"29",0.911550945915667
"30",0.679910552984442
"31",1.46764905890494
"32",1.10901972376668
"33",0.833933892806719
"34",0.579198699403864
"35",0.929736591776443
"36",0.677173241552858
"37",0.271696732205454
"38",0.834420747224407
"39",0.806543600659779
"40",-0.180932455475972
"41",0.144273442224067
"42",-0.0111974861303299
"43",0.368091689862514
"44",0.782131724956643
"45",0.946734581922542
"46",0.534746104961513
"47",0.0782290753164459
"48",0.149888428517174
"49",-0.0795858251910504
"50",-0.0308797341185878
"51",0.0619978198190774
"52",0.361253270792761
"53",0.477173241552857
"54",0.132592541473453
"55",-1.23399270180037
"56",-2.06829417444891
"57",-1.9452932492016
"58",-2.02001110160691
"59",-1.59449304692619
"60",-1.92517379405435
"61",-1.73399270180037
"62",-1.73936356898034
"63",-1.89095166483217
"64",-1.59874729856695
"65",-1.90931334108614
"66",-1.84708846002257
"67",-1.88447932444696
"68",-2.06829417444891
"69",-1.87455438984192
"70",-2.43800218018092
"71",-2.07494348052978
"72",-1.40931334108614
"73",-0.979585825191051
"74",-1.3068325208479
"75",-2.27958582519105
"76",-1.28697927783947
"77",-2.28844905408433
"78",1.51155094591567
"79",-0.785824513877313
"80",1.00901972376668
"81",-0.890951664832166
"82",-0.278328015951648
"83",-0.996284624750889
"84",-0.410979166797584
"85",0.44383552635999
"86",1.07991055298444
"87",0.234420747224406
"88",0.911550945915667
"89",0.990686658913862
"90",1.61300241659874
"91",0.190686658913862
"92",-0.163453297801405
"93",0.190686658913862
"94",0.721671984048352
"95",1.1931674791521
"96",1.51155094591567
"97",0.942925612286386
"98",1.09680708605444
"99",0.543528042192004
"100",0.0774950327356301
"101",-0.273505205066376
"102",0.792806062991096
"103",0.361253270792761
"104",0.0791986994038645
"105",0.590686658913862
"106",0.513917176218008
"107",-0.103377867532114
"108",1.07991055298444
"109",1.24673458192254
"110",1.06322161914591
"111",0.589020833202416
"112",-0.188449054084334
"113",-0.0934563993402211
"114",0.99680708605444
"115",-0.327832169114066
"116",1.11391717621801
"117",-1.33677838085409
"118",0.702899473615873
"119",0.72505651947022
"120",-0.0452932492015981
"121",0.779910552984441
"122",0.92505651947022
"123",0.713917176218009
"124",1.04673458192254
"125",0.634420747224406
"126",0.82041417480895
"127",-0.578328015951649
"128",-0.507193937008904
"129",-0.178328015951648
"130",-1.21627980378238
"131",-0.517868275043357
"132",0.549888428517175
"133",0.520414174808949
"134",0.638345142273364
"135",0.0930358525030908
"136",-0.399036689525588
"137",0.848566383826973
"138",0.68737050056744
"139",0.58880251386967
"140",0.570198072174822
"141",0.792806062991096
"142",0.362692076890779
"143",0.761253270792762
"144",0.381112001510643
"145",0.61300241659874
"146",0.848566383826973
"147",0.608714275538901
"148",0.682131724956643
"149",-0.350111571482826
"150",-0.351433616173027
"151",0.286992462482101
"152",0.147709647177137
"153",-0.83655275370569
"154",-0.241924370593694
"155",-0.0634532978014049
"156",-0.538002180180922
"157",0.586992462482101
"158",-0.0844793244469608
"159",0.190686658913862
"160",-0.391285724461099
"161",-0.899860675488814
"162",0.500963310474411
"163",0.204236526405857
"164",-0.0452932492015981
"165",0.334176173279663
"166",0.444273442224067
"167",-0.145563396365346
"168",-0.00696414749690888
"169",1.10767740346649
"170",1.63328721971641
"171",1.87216783088593
"172",1.00371537524911
"173",0.520414174808949
"174",0.478919398416099
"175",-0.0274246629287074
"176",0.0249538264453815
"177",1.07998889839309
"178",0.324953826445382
"179",1.42287820184137
"180",0.397765688984
"181",0.190686658913862
"182",0.259763661565001
"183",1.15907334191607
"184",0.680478984841522
"185",1.06714436140182
"186",-0.106832520847897
"187",0.911550945915667
"188",1.74667145391333
"189",1.11391717621801
"190",0.696764494097776
"191",0.709019723766683
"192",0.272167830885935
"193",0.00904833516783476
"194",1.27216783088593
"195",0.93707363681137
"196",0.0632216191459136
"197",0.0590733419160712
"198",2.02649479493362
"199",1.67216783088593
"200",-0.0884490540843332
"201",0.45388546170429
"202",0.972167830885934
"203",1.20904833516783
"204",0.62041417480895
"205",1.02041417480895
"206",0.479988898393086
"207",-0.165579252775593
"208",-0.990951664832165
"209",0.793167479152103
"210",0.633933892806719
"211",0.0931674791521031
"212",-0.153328546086665
"213",0.882131724956643
"214",0.521671984048352
"215",-0.0934563993402211
"216",0.215520675553039
"217",0.368091689862514
"218",0.683720196217617
"219",0.378919398416098
"220",-0.695763473594142
"221",-0.721080601583902
"222",0.329207977381371
"223",-0.679600983783541
"224",-0.333666679130155
"225",0.279198699403865
"226",-0.492227762382067
"227",-1.03285563859818
"228",0.582131724956643
"229",0.645592915438448
"230",-0.921349862844349
"231",0.178919398416099
"232",0.87749503273563
"233",0.479910552984442
"234",-0.70319291394556
"235",-1.32080130059614
"236",0.761253270792762
"237",0.0725753370712923
"238",-1.63278216340776
"239",-1.07832801595165
"240",-0.974943480529779
"241",-0.0749434805297797
"242",-1.37350520506638
"243",-0.798747298566949
"244",-0.353328546086665
"245",-0.947088460022574
"246",0.19161440480655
"247",-1.36525389503849
"248",-1.9452932492016
"249",-0.214385575741383
"250",-0.191285724461099
"251",-0.153328546086665
"252",-0.206832520847897
"253",-0.520801300596136
"254",0.409019723766683
"255",-0.341924370593694
"256",-0.109313341086138
"257",0.806543600659779
"258",1.00371537524911
"259",-0.148238476729841
"260",-0.0597706208345503
"261",0.135852681788541
"262",-0.50828776800056
"263",-0.747088460022574
"264",-0.827832169114066
"265",-0.927424662928708
"266",-0.115377881713049
"267",-0.525173794054348
"268",0.246555150610435
"269",-0.139363568980341
"270",-0.888445278900728
"271",0.279988898393086
"272",0.113917176218009
"273",0.884622118286951
"274",0.172575337071293
"275",-0.00828776800056019
"276",0.884622118286951
"277",1.11391717621801
"278",0.421671984048351
"279",0.747939040424508
"280",0.782131724956643
"281",-0.602234311016
"282",-0.747088460022574
"283",-0.962926363188631
"284",0.946671453913336
"285",-0.0470884600225743
"286",0.0663333208698447
"287",0.27749503273563
"288",-0.109313341086138
"289",0.611550945915666
"290",0.890686658913862
"291",0.667649058904937
"292",0.361997819819077
"293",-0.368294174448907
"294",0.204906799093376
"295",0.206543600659779
"296",0.00904833516783476
"297",-0.290980276233317
"298",-0.0909516648321658
"299",0.19171223199944
"300",-0.888445278900728
"301",-0.909313341086138
"302",-0.820011101606914
