PLOT ID,SPECIES,DB,DBH,THT,BA,AGBKg,T/ha,AGB/hakg,AGB/haTn
P8,Gmelina arborea,31.8,26.9,5.8,0.0568,100.153,0.529,52.981,0.053
P8,Gmelina arborea,52.5,38.8,7.4,0.1184,260.183,0.529,137.637,0.138
P8,Anthocleista djalonensis,40.1,29.3,7.3,0.0673,181.437,0.529,95.98,0.096
P8,Gmelina arborea,52.2,31.8,7.1,0.0796,169.497,0.529,89.664,0.09
P8,Gmelina arborea,25.5,17.8,6.2,0.0249,47.882,0.529,25.33,0.025
P8,Gmelina arborea,51.2,36.6,7.4,0.1052,231.839,0.529,122.643,0.123
P8,Gmelina arborea,51.2,24.8,7.4,0.0484,108.661,0.529,57.482,0.057
P8,Gmelina arborea,50.6,36.3,7.5,0.1034,230.926,0.529,122.16,0.122
P8,Gmelina arborea,65.9,36,6.9,0.1016,209.248,0.529,110.692,0.111
P8,Gmelina arborea,65.9,32.1,6.9,0.0812,168.069,0.529,88.908,0.089
P9,Tectona grandis,13,10.2,6.8,0.0081,25.215,0.529,13.339,0.013
P9,Khaya senegalensis,38.4,21.6,8.5,0.0368,143.771,0.529,76.055,0.076
P9,Khaya senegalensis,38.4,28.5,8.4,0.0637,242.973,0.529,128.532,0.129
P9,Gmelina arborea,18.5,15.9,8,0.0199,49.22,0.529,26.037,0.026
P9,Gmelina arborea,24,20.5,7.4,0.0331,74.983,0.529,39.666,0.04
P9,Gmelina arborea,27.7,24.2,7.1,0.046,99.2,0.529,52.477,0.052
P9,Gmelina arborea,25.9,20.1,6,0.0316,58.361,0.529,30.873,0.031
P9,Gmelina arborea,35,27.4,7.2,0.0588,128.006,0.529,67.715,0.068
P9,Gmelina arborea,21.3,17.5,6.2,0.0241,46.227,0.529,24.454,0.024
P9,Gmelina arborea,20.1,15.1,6.1,0.018,34.176,0.529,18.079,0.018
P9,Gmelina arborea,15.9,14.3,7.1,0.0161,35.664,0.529,18.866,0.019
P9,Tectona grandis,19.1,17.7,7.2,0.0245,78.108,0.529,41.319,0.041
P9,Tectona grandis,23.9,15.1,6.4,0.018,51.383,0.529,27.182,0.027
P9,Daniella olivera,19.1,13.7,7.4,0.0147,42.429,0.529,22.445,0.022
P9,Tectona grandis,23.9,12.7,6.3,0.0127,36.179,0.529,19.139,0.019
P9,Tectona grandis,23.9,17.2,6.4,0.0232,66,0.529,34.914,0.035
P9,Daniella olivera,19.7,12.7,7.1,0.0127,35.384,0.529,18.718,0.019
P9,Kashier,24.5,13.2,6.2,0.0137,37.389,0.529,19.779,0.02
P9,Tectona grandis,18.1,14.6,7.2,0.0168,54.143,0.529,28.642,0.029
P9,Tectona grandis,12.7,10.5,6.4,0.0087,25.238,0.529,13.351,0.013
P9,Tectona grandis,28.3,21.2,7.5,0.0352,115.688,0.529,61.199,0.061
P9,Gmelina arborea,42.6,32,7.4,0.0804,178.21,0.529,94.273,0.094
P9,Gmelina arborea,24.7,20.7,6.3,0.0336,65.058,0.529,34.415,0.034
P10,Daniella olivera,25.8,22.3,7.4,0.039,109.84,0.529,58.105,0.058
P10,Gmelina arborea,25.1,21.6,8.2,0.0368,91.891,0.529,48.61,0.049
P10,Gmelina arborea,21.6,18.5,7.4,0.0268,60.942,0.529,32.238,0.032
P10,Daniella olivera,23.9,19.7,7.3,0.0306,85.528,0.529,45.244,0.045
P10,Gmelina arborea,27.1,22.6,7.2,0.0401,88.054,0.529,46.58,0.047
P10,Gmelina arborea,22.3,20.4,7.1,0.0326,70.929,0.529,37.522,0.038
P10,Gmelina arborea,18.8,15.9,6.4,0.0199,39.587,0.529,20.942,0.021
P10,Gmelina arborea,21.6,16.9,6.2,0.0223,43.003,0.529,22.748,0.023
P10,Parkia biglobosa,24.5,21,6.4,0.0347,83.771,0.529,44.315,0.044
P10,Vitex doniana,18.5,15.9,7.4,0.0199,43.037,0.529,22.766,0.023
P10,Gmelina arborea,19.7,18.1,7.2,0.0258,57.353,0.529,30.34,0.03
P10,Gmelina arborea,23.9,19.4,6.4,0.0296,58.362,0.529,30.873,0.031
P10,Gmelina arborea,19.1,14.6,6.1,0.0168,32.101,0.529,16.981,0.017
P10,Gmelina arborea,24.2,18.5,7.2,0.0268,59.334,0.529,31.388,0.031
P11,Gmelina arborea,26.4,22,8.5,0.0379,97.922,0.529,51.801,0.052
P11,Daniella olivera,19.1,15.9,7.8,0.0199,59.956,0.529,31.717,0.032
P11,Ptericarpus erinaceous,25.8,22.3,6.4,0.039,131.33,0.529,69.473,0.069
P11,Ptericarpus erinaceous,13.4,10.8,6.2,0.0092,31.097,0.529,16.45,0.016
P11,Daniella olivera,23.9,20.4,6.4,0.0326,80.03,0.529,42.336,0.042
P11,Daniella olivera,30.2,15.9,7.1,0.0199,54.699,0.529,28.936,0.029
P11,Daniella olivera,20.1,16.9,7.4,0.0223,63.814,0.529,33.758,0.034
P11,Daniella olivera,27.7,24.2,7.2,0.046,125.563,0.529,66.423,0.066
P11,Anthocleista djalonensis,34.1,24.2,7.6,0.046,129.967,0.529,68.752,0.069
P11,Daniella olivera,18.1,15,6.4,0.0176,43.805,0.529,23.173,0.023
P11,Daniella olivera,16.9,14.3,6.5,0.0161,40.854,0.529,21.612,0.022
P11,Gmelina arborea,42.3,23.9,6.4,0.0448,87.355,0.529,46.211,0.046
P11,Gmelina arborea,42.3,16.9,5.2,0.0223,36.219,0.529,19.16,0.019
P11,Gmelina arborea,24.2,20.7,7.2,0.0336,74.114,0.529,39.206,0.039
P11,Anthocleista djalonensis,23.9,18.8,6.4,0.0277,67.042,0.529,35.465,0.035
P11,Daniella olivera,19.7,16.5,6.8,0.0215,56.614,0.529,29.949,0.03
P12,Gmelina arborea,25,20.7,6.5,0.0336,67.073,0.529,35.481,0.035
P12,Gmelina arborea,27.4,21.6,6.3,0.0368,71.047,0.529,37.584,0.038
P12,Gmelina arborea,29.6,22.9,7.4,0.0412,92.943,0.529,49.167,0.049
P12,Gmelina arborea,28.6,26.3,7.6,0.0541,124.43,0.529,65.824,0.066
P12,Gmelina arborea,32.5,26.4,7.2,0.0548,119.435,0.529,63.181,0.063
P12,Iannea schimperiana,47.1,24.5,6.5,0.0472,130.851,0.529,69.22,0.069
P12,Iannea schimperiana,46.1,31.5,7.1,0.078,232.944,0.529,123.228,0.123
P12,Gmelina arborea,43.6,35.6,7.4,0.0998,220.18,0.529,116.475,0.116
P12,Gmelina arborea,35.6,32.1,6.3,0.0812,153.789,0.529,81.355,0.081
P12,Gmelina arborea,29,25,7.3,0.049,108.573,0.529,57.435,0.057
P12,Gmelina arborea,33.4,27.4,7.1,0.0588,126.271,0.529,66.797,0.067
P12,Gmelina arborea,38.5,31.8,6.2,0.0796,148.494,0.529,78.553,0.079
P12,Gmelina arborea,51.6,27.4,6,0.0588,107.14,0.529,56.677,0.057
P12,Gmelina arborea,51.6,27.4,6.3,0.0588,112.365,0.529,59.441,0.059
P12,Gmelina arborea,51.6,28.6,7.1,0.0644,137.989,0.529,72.996,0.073
P12,Gmelina arborea,39.1,34.1,6.3,0.0911,172.127,0.529,91.055,0.091
P12,Iannea schimperiana,49.6,27.7,6.4,0.0602,163.575,0.529,86.531,0.087
P13,Vitex doniana,31.3,25.1,6.9,0.0497,98.167,0.529,51.93,0.052
P13,Daniella olivera,36.3,31.2,5.6,0.0764,161.385,0.529,85.373,0.085
P13,Gmelina arborea,56.7,47.4,6.9,0.1766,359.014,0.529,189.918,0.19
P13,Daniella olivera,27.4,21.2,5.4,0.0352,73.067,0.529,38.653,0.039
P13,Daniella olivera,27.4,22.9,7.1,0.0412,111.455,0.529,58.96,0.059
P13,Gmelina arborea,35.6,28.2,7.4,0.0623,139.039,0.529,73.552,0.074
P13,Daniella olivera,28.8,25.8,6.8,0.0522,134.477,0.529,71.139,0.071
P13,Daniella olivera,19.1,15.8,5.2,0.0195,39.577,0.529,20.936,0.021
P13,Vitex doniana,33.1,27.4,6.9,0.0588,115.861,0.529,61.29,0.061
P13,Gmelina arborea,28.6,21,7.3,0.0347,77.39,0.529,40.94,0.041
P13,Vitex doniana,22.3,19.1,6.8,0.0286,56.566,0.529,29.924,0.03
P13,Daniella olivera,18.5,15,6.3,0.0176,43.137,0.529,22.819,0.023
P13,Gmelina arborea,27.7,18.8,5.6,0.0277,48.003,0.529,25.394,0.025
P13,Gmelina arborea,29.6,25.1,5.3,0.0497,80.426,0.529,42.545,0.043
P13,Gmelina arborea,28.6,25.5,7.4,0.0509,114.166,0.529,60.394,0.06
P13,Vitex doniana,18.8,17.5,6.3,0.0241,44.302,0.529,23.436,0.023
P13,Gmelina arborea,22.9,18.1,6.9,0.0258,55.02,0.529,29.105,0.029
P13,Gmelina arborea,40.1,32.8,5.3,0.0844,134.985,0.529,71.407,0.071
P13,Saccoscphalus latifolia,34.1,26.4,5.6,0.0548,130.983,0.529,69.29,0.069
P13,Vitex doniana,23.9,20.1,5.4,0.0316,49.683,0.529,26.282,0.026
P13,Daniella olivera,26.1,20.1,6.3,0.0316,76.424,0.529,40.428,0.04
P13,Daniella olivera,17.2,12.4,5.2,0.0121,24.851,0.529,13.146,0.013
P13,Saccoscphalus latifolia,27.4,22,5.1,0.0379,83.362,0.529,44.098,0.044
P13,Daniella olivera,16.2,14,5.2,0.0154,31.448,0.529,16.636,0.017
P13,Daniella olivera,28.6,21.6,6.1,0.0368,85.96,0.529,45.473,0.045
P13,Daniella olivera,20.4,16.2,5.2,0.0207,41.952,0.529,22.193,0.022
P13,Vitex doniana,15.6,12.1,5.1,0.0115,17.515,0.529,9.265,0.009
P13,Daniella olivera,32.8,27.1,6.9,0.0575,149.865,0.529,79.279,0.079
P13,Gmelina arborea,32.8,26.1,5.3,0.0535,86.495,0.529,45.756,0.046
P14,Gmelina arborea,22,17.8,4.3,0.0249,33.501,0.529,17.722,0.018
P14,Khaya senegalensis,36.3,32.3,6.7,0.082,249.099,0.529,131.774,0.132
P14,Gmelina arborea,29.9,24.5,6.1,0.0472,87.75,0.529,46.42,0.046
P14,Gmelina arborea,29.6,26.7,6.5,0.0561,110.645,0.529,58.531,0.059
