,RMSE,RSQUARED,BIAS,AIC
Model Naslund,2.8666,0.6194,0.215,149.381
Model Curtis,3.0982,0.5458,0.144,153.887
Model Power,2.7093,0.6513,0.115,146.106
Model Wykoff,3.0695,0.5542,0.142,153.346
Model Prodan,2.2753,0.7515,0.043,137.98
