,DBH.density,DBH.trees.ha,THT.density,THT.trees.ha
1 - 5,0,0,0,0
5 - 10,9,5.14285714285714,18,10.2857142857143
10 - 15,21,12,13,7.42857142857143
15 - 20,6,3.42857142857143,2,1.14285714285714
20 - 25,3,1.71428571428571,4,2.28571428571429
25>,0,0,2,1.14285714285714
Total,39,22.2857142857143,39,22.2857142857143
