,Training_Diameter,Testing_Diameter,All_Diameter,Training_Height,Testing_Height,All_Height
Mean,12.4,13.9,12.78,11.33,14.36,12.11
Minimum,6.9,9.5,6.9,5.9,8,5.9
Maximum,24,24.5,24.5,26,27,27
Standard_Deviation,4.07,4.71,4.23,4.64,7.19,4.23
Obsersavations(n),29,10,39,29,10,39
