,DBH,THT,VOL,BA
Mean,11.4,15.7,0.214,0.011
Standard Deviation,3.7,6.3,0.196,0.007
Minimum,4.9,6.9,0.017,0.002
Maximum,20.6,28,0.897,0.033
Sample Size,83,83,83,83
