,Species,Frequency,Trees.HA,Proportion...
1,Gmelina arborea,64,106.7,77.1
2,Pterocarpus santalinoides,3,5,3.6
3,Vitellaria paradoxa,2,3.3,2.4
4,Ficus sur,1,1.7,1.2
5,Anthocleista djalonensis,3,5,3.6
6,Vitex doniana,3,5,3.6
7,Ficus exasperata,1,1.7,1.2
8,Prosopis africana,1,1.7,1.2
9,Ficus sycomorus,1,1.7,1.2
10,Albizia zygia,2,3.3,2.4
11,Crossopteryx febrifuga,1,1.7,1.2
12,Khaya senegalensis,1,1.7,1.2
13,Total,83,138.333333333333,100
