,Species,Frequency,Wood.Density
1,Gmelina arborea,64,0.425
2,Pterocarpus santalinoides,3,0.7
3,Vitellaria paradoxa,2,0.57
4,Ficus sur,1,0.412
5,Anthocleista djalonensis,3,0.532
6,Vitex doniana,3,0.4
7,Ficus exasperata,1,0.293
8,Prosopis africana,1,0.878
9,Ficus sycomorus,1,0.413
10,Albizia zygia,2,0.804
11,Crossopteryx febrifuga,1,0.5
12,Khaya senegalensis,1,0.648
13,Total,83,-
