S.NO,SPECIES,DIAMETER,HEIGHT,WOOD.DENSITY,BA,VOLUME,AGB.kg,AGB.tons,AGB.kg.ha,AGB.tons.ha,AGC.kg,AGC.tons,AGC.kg.ha,AGC.tons.ha,VOL.m3.ha
52,Gmelina arborea,13.2,16,0.425,0.0136847775990371,0.218956441584594,67.2828031354632,0.0672828031354632,112.138005225772,0.112138005225772,31.6229174736677,0.0316229174736677,186.896675376287,0.186896675376287,0.36492740264099
53,Gmelina arborea,14.6,19.7,0.425,0.01674154725098,0.329808480844306,100.35487427304,0.10035487427304,167.258123788401,0.167258123788401,47.166790908329,0.047166790908329,278.763539647334,0.278763539647334,0.549680801407177
54,Gmelina arborea,12.9,23,0.425,0.0130698108370969,0.30060564925323,91.6727252809789,0.0916727252809789,152.787875468298,0.152787875468298,43.0861808820601,0.0430861808820601,254.64645911383,0.25464645911383,0.501009415422049
55,Gmelina arborea,7.3,11.2,0.425,0.004185386812745,0.046876332302744,14.9474005650525,0.0149474005650525,24.9123342750875,0.0249123342750875,7.02527826557466,0.00702527826557466,41.5205571251458,0.0415205571251458,0.0781272205045734
56,Gmelina arborea,9.5,12,0.425,0.00708821842466197,0.0850586210959436,26.7374529665504,0.0267374529665504,44.5624216109173,0.0445624216109173,12.5666028942787,0.0125666028942787,74.2707026848622,0.0742707026848622,0.141764368493239
57,Gmelina arborea,11.7,11.2,0.425,0.0107513154587477,0.120414733137974,37.5368869337511,0.0375368869337511,62.5614782229185,0.0625614782229185,17.642336858863,0.017642336858863,104.269130371531,0.104269130371531,0.200691221896623
58,Gmelina arborea,11,16,0.425,0.00950331777710912,0.152053084433746,47.1348668349773,0.0471348668349773,78.5581113916288,0.0785581113916288,22.1533874124393,0.0221533874124393,130.930185652715,0.130930185652715,0.253421807389577
59,Gmelina arborea,19.8,24,0.425,0.0307907495978336,0.738977990348005,220.546049656747,0.220546049656747,367.576749427911,0.367576749427911,103.656643338671,0.103656643338671,612.627915713185,0.612627915713185,1.23162998391334
60,Gmelina arborea,15.4,24.1,0.425,0.0186265028431339,0.448898718519527,135.58502969928,0.13558502969928,225.9750494988,0.2259750494988,63.7249639586615,0.0637249639586615,376.625082497999,0.376625082497999,0.748164530865878
61,Gmelina arborea,13.7,19.6,0.425,0.0147411381288067,0.288926307324611,88.1948310650813,0.0881948310650813,146.991385108469,0.146991385108469,41.4515706005882,0.0414515706005882,244.985641847448,0.244985641847448,0.481543845541019
62,Gmelina arborea,11.1,10.8,0.425,0.00967689077121996,0.104510420329176,32.6899833890528,0.0326899833890528,54.4833056484213,0.0544833056484213,15.3642921928548,0.0153642921928548,90.8055094140354,0.0908055094140354,0.174184033881959
63,Gmelina arborea,9.9,13.9,0.425,0.00769768739945839,0.106997854852472,33.4491437441343,0.0334491437441343,55.7485729068905,0.0557485729068905,15.7210975597431,0.0157210975597431,92.9142881781508,0.0929142881781508,0.178329758087453
64,Gmelina arborea,8.7,12,0.425,0.00594467869875529,0.0713361443850634,22.5187944750346,0.0225187944750346,37.5313241250577,0.0375313241250577,10.5838334032663,0.0105838334032663,62.5522068750961,0.0625522068750961,0.118893573975106
65,Albizia zygia,5.6,8.1,0.804,0.0024630086404144,0.0199503699873566,12.0973257416557,0.0120973257416557,20.1622095694261,0.0201622095694261,5.68574309857817,0.00568574309857817,33.6036826157102,0.0336036826157102,0.0332506166455944
66,Albizia zygia,11.2,10,0.804,0.00985203456165759,0.0985203456165759,57.4934735628469,0.0574934735628469,95.8224559380781,0.0958224559380781,27.021932574538,0.027021932574538,159.70409323013,0.15970409323013,0.164200576027626
67,Gmelina arborea,13.8,26.2,0.425,0.014957122623741,0.391876612742014,118.748654350269,0.118748654350269,197.914423917115,0.197914423917115,55.8118675446265,0.0558118675446265,329.857373195192,0.329857373195192,0.653127687903357
68,Gmelina arborea,11.4,15,0.425,0.0102070345315132,0.153105517972699,47.4532540054612,0.0474532540054612,79.0887566757687,0.0790887566757687,22.3030293825668,0.0223030293825668,131.814594459615,0.131814594459615,0.255175863287831
69,Gmelina arborea,13.5,23.4,0.425,0.0143138815279185,0.334944827753293,101.87998043449,0.10187998043449,169.799967390816,0.169799967390816,47.8835908042102,0.0478835908042102,282.99994565136,0.28299994565136,0.558241379588821
70,Gmelina arborea,10.7,15,0.425,0.00899202357273739,0.134880353591061,41.9319310337795,0.0419319310337795,69.8865517229658,0.0698865517229658,19.7080075858763,0.0197080075858763,116.477586204943,0.116477586204943,0.224800589318435
71,Gmelina arborea,12.4,21,0.425,0.0120762821603992,0.253601925368382,77.6547133747554,0.0776547133747554,129.424522291259,0.129424522291259,36.497715286135,0.036497715286135,215.707537152098,0.215707537152098,0.422669875613971
72,Gmelina arborea,11.8,13,0.425,0.0109358840271461,0.142166492352899,44.1412929562817,0.0441412929562817,73.5688215938029,0.0735688215938028,20.7464076894524,0.0207464076894524,122.614702656338,0.122614702656338,0.236944153921498
73,Gmelina arborea,14.1,22.2,0.425,0.0156145008865047,0.346641919680404,105.351050601895,0.105351050601895,175.585084336492,0.175585084336492,49.5149937828908,0.0495149937828908,292.641807227487,0.292641807227487,0.577736532800673
74,Gmelina arborea,15.6,20,0.425,0.0191134497044403,0.382268994088806,115.906329184599,0.115906329184599,193.177215307666,0.193177215307666,54.4759747167617,0.0544759747167617,321.962025512776,0.321962025512776,0.63711499014801
75,Gmelina arborea,11.4,9.9,0.425,0.0102070345315132,0.101049641861981,31.6330362982115,0.0316330362982115,52.7217271636858,0.0527217271636858,14.8675270601594,0.0148675270601594,87.8695452728097,0.0878695452728097,0.168416069769968
76,Gmelina arborea,19.7,25.8,0.425,0.0304805173232916,0.786397346940922,234.348169962601,0.234348169962601,390.580283271002,0.390580283271002,110.143639882422,0.110143639882422,650.967138785003,0.650967138785003,1.31066224490154
77,Crossopteryx febrifuga,6.3,7.1,0.5,0.00311724531052447,0.0221324417047238,8.42074835915344,0.00842074835915344,14.0345805985891,0.0140345805985891,3.95775172880212,0.00395775172880211,23.3909676643151,0.0233909676643151,0.0368874028412063
78,Gmelina arborea,20.6,26.9,0.425,0.0333291564619341,0.896554308826028,266.33589356433,0.26633589356433,443.89315594055,0.44389315594055,125.177869975235,0.125177869975235,739.821926567583,0.739821926567583,1.49425718137671
79,Khaya senegalensis,5.5,9,0.648,0.00237582944427728,0.0213824649984955,10.486750346294,0.010486750346294,17.4779172438233,0.0174779172438233,4.92877266275818,0.00492877266275818,29.1298620730389,0.0291298620730389,0.0356374416641592
80,Gmelina arborea,17.8,22.2,0.425,0.0248845554090848,0.552437130081681,166.028638878929,0.166028638878929,276.714398131548,0.276714398131548,78.0334602730965,0.0780334602730965,461.19066355258,0.46119066355258,0.920728550136136
81,Gmelina arborea,8.6,18,0.425,0.00580880481648753,0.104558486696775,32.7046572307696,0.0327046572307696,54.5077620512827,0.0545077620512827,15.3711888984617,0.0153711888984617,90.8462700854712,0.0908462700854712,0.174264144494626
82,Gmelina arborea,11.5,11.3,0.425,0.0103868907109313,0.117371865033523,36.6108156967938,0.0366108156967938,61.018026161323,0.061018026161323,17.2070833774931,0.0172070833774931,101.696710268872,0.101696710268872,0.195619775055872
83,Vitex doniana,7,8,0.4,0.0038484510006475,0.03078760800518,9.34701236416757,0.00934701236416757,15.5783539402793,0.0155783539402793,4.39309581115876,0.00439309581115876,25.9639232337988,0.0259639232337988,0.0513126800086333
