,AGB.kg,AGB.tons,AGB.kg.ha,AGB.tons.ha
Mean,68.8,0.069,114.7,0.115
Standard Deviation,62.6,0.063,104.3,0.104
Minimum,5.3,0.005,8.9,0.009
Maximum,266.3,0.266,443.9,0.444
Sample Size,83,83,83,83
