,Trees.ha,AGB.tons.ha,AGC.tons.ha,VOL.m3.ha
1 - 10,51.6666666666667,1.4,2.4,2.5
11 - 20,85,13.7,22.8,25.55
21 - 30,1.66666666666667,0.7,1.2,1.49
31 - 40,0,0,0,0
41 - 50,0,0,0,0
50>,0,0,0,0
Total,138.333333333333,15.8,26.4,29.54
