,a,b,c
Power,0.06,1.61,-
Chapman,38.2,0.04,2.67
Logistics,24.96,18.69,0.11
Weibull,24.96,0,2.08
Gomperz,24.96,4.52,0.07
Naslund,5.72,0.08,-
