,DBH.density,DBH.trees.ha,THT.density,THT.trees.ha
1 - 5,0,0,14,2.66666666666667
5 - 10,0,0,215,40.9523809523809
10 - 15,51,9.71428571428571,236,44.9523809523809
15 - 20,160,30.4761904761905,121,23.047619047619
20 - 25,194,36.9523809523809,4,0.761904761904762
25>,185,35.2380952380952,0,0
Total,590,112.380952380952,590,112.380952380952
