,a,b,c
Power,0.22347,1.20915,-
Chapman,19.41486,0.11319,7.88962
Logistics,17.75276,60.72322,0.19496
Weibull,17.63549,0.00011,2.86445
Gomperz,19.21863,9.63744,0.12086
Naslund,-34.53997,14.35289,-
