,NO.LEAVES,std,r,se,Min,Max,Q25,Q50,Q75
T1,45.5333333333333,8.6673992364382,15,2.3469300873275,29,59,42,47,51
T2,48.5714285714286,8.28078671210825,14,2.42930343517358,30,58,44.25,52.5,54
T3,58.3785714285714,5.86241989565461,14,2.42930343517358,44,65,54.55,60.5,62.775
TN,43.4,12.1643507254365,15,2.3469300873275,7,58,43,46,49.5
