,TREATMENT,Mean_Diameter,SD_Diameter,Min_Diameter,Max_Diameter,Mean_Height,SD_Height,Min_Height,Max_Height,Mean_Leaves,SD_Leaves,Min_Leaves,Max_Leaves
1,T1,7.23466666666667,1.50087054103689,5,10.12,12.4666666666667,1.84648959096005,8,16,45.5333333333333,8.6673992364382,29,59
2,T2,7.39142857142857,1.3570661632465,4.29,8.94,12.2857142857143,1.93861851797659,8,15,48.5714285714286,8.28078671210825,30,58
3,T3,9.07835714285714,0.743029723718823,7.08,10.037,14.0714285714286,0.91687476825319,13,16,58.3785714285714,5.86241989565461,44,65
4,TN,7.78533333333333,3.51957356724335,3.39,19.29,12,1.36277028773849,9,14,43.4,12.1643507254365,7,58
