,diff,lwr,upr,p.adj
T2-T1,-0.180952380952379,-1.72995945753261,1.36805469562786,0.989587396964672
T3-T1,1.60476190476191,0.055754828181674,3.15376898134214,0.0396060864661794
TN-T1,-0.466666666666663,-1.98873243456327,1.05539910122994,0.848171530342393
T3-T2,1.78571428571429,0.210226537495153,3.36120203393342,0.020390480066508
TN-T2,-0.285714285714285,-1.83472136229452,1.26329279086595,0.961232673501727
TN-T3,-2.07142857142857,-3.62043564800881,-0.522421494848337,0.0044291123993585
