,Species,Frequency
1,Gmelina arborea,64
2,Pterocarpus santalinoides,3
3,Vitellaria paradoxa,2
4,Ficus sur,1
5,Anthocleista djalonensis,3
6,Vitex doniana,3
7,Ficus exasperata,1
8,Prosopis africana,1
9,Ficus sycomorus,1
10,Albizia zygia,2
11,Crossopteryx febrifuga,1
12,Khaya senegalensis,1
13,Total,83
