,RMSE,RSQUARED,BIAS,AIC
Model Chapman,3.1286,0.7655,0.042,345.856
Model Weibull,3.1046,0.7696,0.066,344.841
Model Power,3.2088,0.7533,-0.036,347.2
Model Korf,3.1592,0.7607,0.026,347.142
Model Prodan,3.1264,0.7668,0.085,345.765
Model Logistic,3.0264,0.7807,0.047,341.475
Model Hossfeld IV,3.1266,0.766,0.049,345.773
Model Ratkowsky,3.1411,0.7634,0.017,346.382
