,a,b,c
Model Chapman,37.13,0.1,2.26
Model Weibull,29.43,0.01,1.88
Model Power,0.89,1.15,-
Model Korf,148.58,8.1,-
Model Prodan,6.1,-0.11,0.03
Model Logistic,27.94,17.26,0.26
Model Hossfeld IV,42.71,0.01,1.92
Model Ratkowsky,76.77,25.44,4.1
