,Training_Diameter,Testing_Diameter,All_Diameter,Training_Height,Testing_Height,All_Height
Mean,11.48,11.23,11.43,16.09,14.05,15.67
Minimum,4.9,6.3,4.9,6.9,7,6.9
Maximum,21,19.3,20.6,28,26.2,28
Standard_Deviation,3.77,3.33,3.67,6.51,5.48,3.67
Obsersavations(n),66,17,83,66,17,83
