,Training_Diameter,Testing_Diameter,All_Diameter,Training_Height,Testing_Height,All_Height
Mean,11.32,11.25,11.3,8.73,8.36,8.64
Minimum,3.4,4.3,3.4,2.9,3.9,2.9
Maximum,27,21.1,27.3,18,18,18
Standard_Deviation,4.21,3.89,4.13,3.41,3.15,4.13
Obsersavations(n),140,46,186,140,46,186
