Species,Frequency,Trees.HA,Proportion...
Khaya senegalensis,105,60,68.6
Gmelina arborea,1,0.6,0.7
Sena siameao,1,0.6,0.7
Detonixo regia,2,1.1,1.3
Eucalyptus camadolensis,1,0.6,0.7
Daniella oliveri,2,1.1,1.3
Azadirachta indica,39,22.3,25.5
Anthocleista djalonensis,1,0.6,0.7
Abezia zygia,1,0.6,0.7
Total,153,87.4285714285714,100
