,AGC.kg,AGC.tons,AGC.kg.ha,AGC.tons.ha,VOL.m3,VOL.m3.ha
Mean,66.7,0.067,46.3,0.046,0.32,0.183
Standard Deviation,65.9,0.066,45.8,0.046,0.321,0.184
Minimum,5.4,0.005,3.7,0.004,0.027,0.015
Maximum,424.7,0.425,295,0.295,2.056,1.175
Sample Size,153,153,153,153,153,153
