,AGB.kg,AGB.tons,AGB.kg.ha,AGB.tons.ha
Mean,141.9,0.142,81.1,0.081
Standard Deviation,140.3,0.14,80.2,0.08
Minimum,11.4,0.011,6.5,0.007
Maximum,903.6,0.904,516.3,0.516
Sample Size,153,153,153,153
