,DBH,THT,VOL,BA
Mean,14.2,15.7,0.32,0.017
Standard Deviation,4.2,5.7,0.321,0.011
Minimum,6.9,5.9,0.027,0.004
Maximum,28.6,32,2.056,0.064
Sample Size,153,153,153,153
