,Trees.ha,AGB.tons.ha,AGC.tons.ha,VOL.m3.ha
1 - 10,11.4285714285714,0.2,0.1,0.65
11 - 20,67.4285714285714,4.6,2.6,18.15
21 - 30,8.57142857142857,2.3,1.3,9.16
31 - 40,0,0,0,0
41 - 50,0,0,0,0
50>,0,0,0,0
Total,87.4285714285714,7.1,4,27.96
