,Species,Frequency,Trees.HA,Proportion...
1,Khaya senegalensis,105,60,68.6
2,Gmelina arborea,1,0.6,0.7
3,Sena siameao,1,0.6,0.7
4,Detonixo regia,2,1.1,1.3
5,Eucalyptus camadolensis,1,0.6,0.7
6,Daniella oliveri,2,1.1,1.3
7,Azadirachta indica,39,22.3,25.5
8,Anthocleista djalonensis,1,0.6,0.7
9,Abezia zygia,1,0.6,0.7
10,Total,153,87.42857143,100
,,,,
,,,,
,,,,
,,,,
,,,,
,Species,Frequency,Trees.HA,Proportion...
9,Abezia zygia,1,0.6,0.7
8,Anthocleista djalonensis,1,0.6,0.7
7,Azadirachta indica,39,22.3,25.5
6,Daniella oliveri,2,1.1,1.3
4,Detonixo regia,2,1.1,1.3
5,Eucalyptus camadolensis,1,0.6,0.7
2,Gmelina arborea,1,0.6,0.7
1,Khaya senegalensis,105,60,68.6
3,Sena siameao,1,0.6,0.7
10,Total,153,87.5,100.2
,,,,
