,DBH.density,DBH.trees.ha,THT.density,THT.trees.ha
1 - 5,0,0,0,0
6 - 10,20,11.4285714285714,29,16.5714285714286
11 - 15,76,43.4285714285714,51,29.1428571428571
16 - 20,42,24,35,20
21 - 25,12,6.85714285714286,28,16
25>,3,1.71428571428571,10,5.71428571428571
Total,153,87.4285714285714,153,87.4285714285714
