,AGB.kg,AGB.tons,AGB.kg.ha,AGB.tons.ha
Mean,44.4,0.044,29.6,0.03
Standard Deviation,27.9,0.028,18.6,0.019
Minimum,0.4,0,0.3,0
Maximum,173.7,0.174,115.8,0.116
Sample Size,132,132,132,132
