,AGC.kg,AGC.tons,AGC.kg.ha,AGC.tons.ha
Mean,20.9,0.021,19.7,0.02
Standard Deviation,13.1,0.013,12.4,0.012
Minimum,0.2,0,0.2,0
Maximum,81.6,0.082,77.2,0.077
Sample Size,132,132,132,132
