,S.NO,SPECIES,HEIGHT,DIAMETER,CROWN.DIAMETER,PLOT,WOOD.DENSITY,BA,AGB.kg,AGB.tons,AGB.kg.ha,AGB.tons.ha,AGC.kg,AGC.tons,AGC.kg.ha,AGC.tons.ha
29,29,Tectona grandis,17.7,8.53,6.6,P2,0.615,0.00571462772271454,45.4141922419982,0.0454141922419982,30.2761281613322,0.0302761281613322,21.3446703537392,0.0213446703537392,20.1840854408881,0.0201840854408881
30,30,Tectona grandis,16.6,7.64,6.9,P2,0.615,0.00458433766382437,34.4017794362414,0.0344017794362414,22.9345196241609,0.0229345196241609,16.1688363350335,0.0161688363350335,15.2896797494406,0.0152896797494406
31,31,Tectona grandis,18,9.13,7.1,P2,0.615,0.00654683561665048,52.7159575930936,0.0527159575930936,35.1439717287291,0.0351439717287291,24.776500068754,0.024776500068754,23.4293144858194,0.0234293144858194
32,32,Tectona grandis,18,9.87,8.05,P2,0.615,0.00765110543438729,61.3776454593561,0.0613776454593561,40.9184303062374,0.0409184303062374,28.8474933658973,0.0288474933658973,27.2789535374916,0.0272789535374916
33,33,Tectona grandis,7,1.21,2.1,P2,0.615,0.00011499014510302,0.405854071495513,0.000405854071495513,0.270569380997009,0.000270569380997009,0.190751413602891,0.000190751413602891,0.180379587331339,0.000180379587331339
34,34,Tectona grandis,17,8.4,6.05,P2,0.615,0.0055417694409324,42.3709782388072,0.0423709782388072,28.2473188258715,0.0282473188258715,19.9143597722394,0.0199143597722394,18.8315458839143,0.0188315458839143
35,35,Tectona grandis,16.7,7.92,6,P2,0.615,0.00492651993565337,37.1227386205823,0.0371227386205823,24.7484924137215,0.0247484924137215,17.4476871516737,0.0174476871516737,16.498994942481,0.016498994942481
36,36,Tectona grandis,18,9.1,7.05,P2,0.615,0.00650388219109427,52.3783652763385,0.0523783652763385,34.9189101842257,0.0349189101842257,24.6178316798791,0.0246178316798791,23.2792734561504,0.0232792734561504
37,37,Tectona grandis,18.5,9.48,5.7,P2,0.615,0.0070584047103794,58.2702201137944,0.0582702201137944,38.8468134091963,0.0388468134091963,27.3870034534834,0.0273870034534834,25.8978756061308,0.0258978756061308
38,38,Tectona grandis,17,8.5,6.5,P2,0.615,0.00567450173054657,43.3611775250086,0.0433611775250086,28.9074516833391,0.0289074516833391,20.379753436754,0.020379753436754,19.2716344555594,0.0192716344555594
