,DBH,THT,CD,BA
Mean,8.3,16.3,5.9,0.006
Standard Deviation,2,2.9,1.5,0.003
Minimum,1.2,7,2.1,0
Maximum,15.2,22,9.8,0.018
Sample Size,132,132,132,132
