,Trees.ha,AGB.tons.ha,AGC.tons.ha
1 - 10,76.6666666666667,1.8,1.2
11 - 20,11.3333333333333,0.8,0.5
21 - 30,0,0,0
31 - 40,0,0,0
41 - 50,0,0,0
50>,0,0,0
Total,88,2.6,1.7
