,Statistics,Rank,AIC,BIC
Weibull,0.079,4,985.76,991.45
Gamma,0.074,2,981.91,987.59
Lognormal,0.081,5,983.57,989.25
Normal,0.072,1,984.45,990.13
Cauchy,0.121,6,1050.3,1055.99
Exponential,0.426,7,1231.44,1234.28
Logistics,0.075,3,993.01,998.7
