,Statistics,Rank,AIC,BIC
Weibull,0.165,3,985.76,991.45
Gamma,0.134,1,981.91,987.59
Lognormal,0.14,2,983.57,989.25
Normal,0.173,4,984.45,990.13
Cauchy,0.377,6,1050.3,1055.99
Exponential,6.864,7,1231.44,1234.28
Logistics,0.194,5,993.01,998.7
