,Statistics,Rank,AIC,BIC
Weibull,0.974,3,985.76,991.45
Gamma,0.78,1,981.91,987.59
Lognormal,0.855,2,983.57,989.25
Normal,0.975,4,984.45,990.13
Cauchy,3.328,6,1050.3,1055.99
Exponential,33.048,7,1231.44,1234.28
Logistics,1.213,5,993.01,998.7
