,Shape,Scale,Location,Rate
Weibull,4.463,51.042,-,-
Gamma,16.062,-,-,0.345
Lognormal,-,-,-,-
Normal,-,-,-,-
Cauchy,-,8.075,45.017,-
Exponential,-,-,-,0.021
Logistics,-,6.848,46.23,-
