,AGB.kg,AGB.tons,AGB.kg.ha,AGB.tons.ha
Mean,49.9,0.05,18.1,0.018
Standard Deviation,57.8,0.058,21,0.021
Minimum,1.3,0.001,0.5,0
Maximum,434.2,0.434,157.9,0.158
Sample Size,186,186,186,186
