,Trees.ha,AGB.tons.ha,AGC.tons.ha
1 - 10,30.1818181818182,0.1,0.1
10 - 20,35.6363636363636,0.9,0.3
20 - 30,1.81818181818182,0.2,0.1
30 - 40,0,0,0
40 - 50,0,0,0
50>,0,0,0
Total,67.6363636363636,1.2,0.5
