,DBH,THT,CD,BA
Mean,10.3,11.8,7.8,0.011
Standard Deviation,5.4,4.7,3.6,0.015
Minimum,4.6,3.3,2.5,0.002
Maximum,41.1,38.3,24.3,0.133
Sample Size,299,299,299,299
