S.NO,SPECIES,DIAMETER,HEIGHT,CROWN.DIAMETER,PLOT,WOOD.DENSITY,FOREST,COUNT,BA,AGB.kg,AGB.tons,AGB.kg.ha,AGB.tons.ha,AGC.kg,AGC.tons,AGC.kg.ha,AGC.tons.ha
61,Khaya senegalensis,1.495862508,14.4,6.9,P1,0.648,FOR,1,0.000175741057689618,1.30635922434804,0.00130635922434804,0.522543689739216,0.000522543689739216,0.613988835443579,0.000613988835443579,0.209017475895687,0.000209017475895687
62,Khaya senegalensis,10.34373011,16.1,11.55,P1,0.648,FOR,1,0.00840319113798616,63.4781382726696,0.0634781382726696,25.3912553090678,0.0253912553090678,29.8347249881547,0.0298347249881547,10.1565021236271,0.0101565021236271
63,Daniella oliveri,15.21323997,17.5,16.3,P1,0.533,FOR,1,0.0181774648252027,120.837781953614,0.120837781953614,48.3351127814456,0.0483351127814456,56.7937575181986,0.0567937575181986,19.3340451125783,0.0193340451125783
64,Khaya senegalensis,15.2768937,26,17.4,P1,0.648,FOR,1,0.0183298957439815,216.951515540619,0.216951515540619,86.7806062162477,0.0867806062162477,101.967212304091,0.101967212304091,34.7122424864991,0.0347122424864991
65,Daniella oliveri,16.13621897,17.1,24.6,P1,0.533,FOR,1,0.0204500059493477,132.536072230916,0.132536072230916,53.0144288923664,0.0530144288923664,62.2919539485305,0.0622919539485305,21.2057715569465,0.0212057715569465
66,Khaya senegalensis,16.70910248,26,21,P1,0.648,FOR,1,0.0219278537838074,258.422755507047,0.258422755507047,103.369102202819,0.103369102202819,121.458695088312,0.121458695088312,41.3476408811275,0.0413476408811275
67,Daniella oliveri,17.44112031,16,23.1,P1,0.533,FOR,1,0.0238912370359316,144.56897735826,0.14456897735826,57.8275909433041,0.0578275909433041,67.9474193583823,0.0679474193583823,23.1310363773217,0.0231310363773217
68,Daniella oliveri,17.88669637,18.1,24.4,P1,0.533,FOR,1,0.0251275502991951,171.290758496892,0.171290758496892,68.5163033987569,0.0685163033987569,80.5066564935394,0.0805066564935394,27.4065213595028,0.0274065213595028
69,Eucalyptus calmadalutases,19.12794398,21,26.4,P1,0.73,FOR,1,0.0287360098431534,306.846173463041,0.306846173463041,122.738469385216,0.122738469385216,144.217701527629,0.144217701527629,49.0953877540866,0.0490953877540866
70,Khaya senegalensis,16.00891152,17.5,20.1,P1,0.648,FOR,1,0.0201285963128405,161.521986611047,0.161521986611047,64.6087946444187,0.0646087946444187,75.9153337071919,0.0759153337071919,25.8435178577675,0.0258435178577675
71,Khaya senegalensis,13.14449395,26,15.15,P1,0.648,FOR,1,0.0135699304907722,161.776074664871,0.161776074664871,64.7104298659483,0.0647104298659483,76.0347550924892,0.0760347550924892,25.8841719463793,0.0258841719463793
72,Khaya senegalensis,16.04073838,14,23.6,P1,0.648,FOR,1,0.0202087100451412,130.416089854232,0.130416089854232,52.1664359416927,0.0521664359416927,61.2955622314889,0.0612955622314889,20.8665743766771,0.0208665743766771
73,Azdirachta indica,17.09102482,18.1,22.7,P1,0.57,FOR,1,0.0229417261351723,167.342615724192,0.167342615724192,66.9370462896768,0.0669370462896768,78.6510293903703,0.0786510293903703,26.7748185158707,0.0267748185158707
74,Vitex donina,13.46276257,21.3,14.9,P1,0.4,FOR,1,0.0142350256686296,87.1352819869677,0.0871352819869677,34.8541127947871,0.0348541127947871,40.9535825338748,0.0409535825338748,13.9416451179148,0.0139416451179148
75,Albizia zygia,12.95353278,10.3,15.3,P1,0.804,FOR,1,0.0131785108447473,78.6060405531915,0.0786060405531916,31.4424162212766,0.0314424162212766,36.94483906,0.03694483906,12.5769664885106,0.0125769664885106
76,Khaya senegalensis,12.66709102,17.6,17.1,P1,0.648,FOR,1,0.012602121538908,102.839019045966,0.102839019045966,41.1356076183864,0.0411356076183864,48.334338951604,0.048334338951604,16.4542430473545,0.0164542430473545
