,AGB.kg,AGB.tons,AGB.kg.ha,AGB.tons.ha
Mean,92,0.092,36.8,0.037
Standard Deviation,62.5,0.063,25,0.025
Minimum,1.3,0.001,0.5,0.001
Maximum,306.8,0.307,122.7,0.123
Sample Size,76,76,76,76
