,Trees.ha,AGB.tons.ha,AGC.tons.ha
1 - 10,12.8,0.2,0.1
10 - 20,17.6,0.9,0.4
20 - 30,0,0,0
30 - 40,0,0,0
40 - 50,0,0,0
50>,0,0,0
Total,30.4,1.1,0.5
