,DBH,THT,CD,BA
Mean,11.5,18.4,15.9,0.011
Standard Deviation,3.5,6.1,4.2,0.007
Minimum,1.5,10.3,6.9,0
Maximum,19.1,44.7,26.4,0.029
Sample Size,76,76,76,76
