,Species,Frequency,Trees.HA,Proportion...
1,Khaya senegalensis,35,14,46.1
2,Daniella oliveri,18,7.2,23.7
3,Azdirachta indica,5,2,6.6
4,Vitex donina,4,1.6,5.3
5,Combretum nigricans,2,0.8,2.6
6,Albizia zygia,4,1.6,5.3
7,Eucalyptus calmadalutases,2,0.8,2.6
8,Ficus sycomorus,2,0.8,2.6
9,Stereospermum kunthianum,2,0.8,2.6
10,Senna siamea,2,0.8,2.6
11,Total,76,30.4,100
