,S.NO,SPECIES,DIAMETER,HEIGHT,CROWN.DIAMETER,PLOT,WOOD.DENSITY,FOREST,COUNT,BA,AGB.kg,AGB.tons,AGC.kg,AGC.tons
45,45,Khaya senegalensis,9.229789943,14,12.5,P1,0.648,FOR,1,0.00669073,44.33918029,0.04433918,20.83941474,0.020839415
46,46,Khaya senegalensis,9.86632718,19,12.4,P1,0.648,FOR,1,0.007645412,68.04047645,0.068040476,31.97902393,0.031979024
47,47,Vitex donina,10.1845958,18,15.8,P1,0.4,FOR,1,0.00814662,42.88228055,0.042882281,20.15467186,0.020154672
48,48,Daniella oliveri,8.911521324,15,12.86,P1,0.533,FOR,1,0.006237256,36.59922604,0.036599226,17.20163624,0.017201636
49,49,Khaya senegalensis,7.32017823,18.9,13.2,P1,0.648,FOR,1,0.004208557,37.79943096,0.037799431,17.76573255,0.017765733
50,50,Khaya senegalensis,8.274984087,16,12.5,P1,0.648,FOR,1,0.005378042,40.81453788,0.040814538,19.1828328,0.019182833
51,51,Daniella oliveri,6.683640993,14,9.4,P1,0.533,FOR,1,0.003508457,19.51404857,0.019514049,9.171602829,0.009171603
52,52,Azdirachta indica,10.50286442,18,14,P1,0.57,FOR,1,0.00866374,64.34097451,0.064340975,30.24025802,0.030240258
53,53,Albizia zygia,12.09420751,21,15.75,P1,0.804,FOR,1,0.011488008,137.7914008,0.137791401,64.76195838,0.064761958
54,54,Ficus sycomorus,9.229789943,15,16.2,P1,0.413,FOR,1,0.00669073,30.55637355,0.030556374,14.36149557,0.014361496
55,55,Khaya senegalensis,8.274984087,18,13.7,P1,0.648,FOR,1,0.005378042,45.78674237,0.045786742,21.51976891,0.021519769
56,56,Senna siamea,10.50286442,19,15.3,P1,0.57,FOR,1,0.00866374,67.82740222,0.067827402,31.87887905,0.031878879
57,57,Khaya senegalensis,9.548058561,20,15.55,P1,0.648,FOR,1,0.007160116,67.09833911,0.067098339,31.53621938,0.031536219
58,58,Stereospermum kunthianum,8.911521324,12,14,P1,0.6,FOR,1,0.006237256,33.04285718,0.033042857,15.53014287,0.015530143
59,59,Khaya senegalensis,7.32017823,17,11.2,P1,0.648,FOR,1,0.004208557,34.08605091,0.034086051,16.02044393,0.016020444
60,60,Daniella oliveri,8.593252705,18,17.6,P1,0.533,FOR,1,0.005799694,40.73074822,0.040730748,19.14345166,0.019143452
61,61,Khaya senegalensis,1.495862508,14.4,6.9,P1,0.648,FOR,1,0.000175741,1.306359224,0.001306359,0.613988835,0.000613989
62,62,Khaya senegalensis,10.34373011,16.1,11.55,P1,0.648,FOR,1,0.008403191,63.47813827,0.063478138,29.83472499,0.029834725
63,63,Daniella oliveri,15.21323997,17.5,16.3,P1,0.533,FOR,1,0.018177465,120.837782,0.120837782,56.79375752,0.056793758
64,64,Khaya senegalensis,15.2768937,26,17.4,P1,0.648,FOR,1,0.018329896,216.9515155,0.216951516,101.9672123,0.101967212
65,65,Daniella oliveri,16.13621897,17.1,24.6,P1,0.533,FOR,1,0.020450006,132.5360722,0.132536072,62.29195395,0.062291954
66,66,Khaya senegalensis,16.70910248,26,21,P1,0.648,FOR,1,0.021927854,258.4227555,0.258422756,121.4586951,0.121458695
67,67,Daniella oliveri,17.44112031,16,23.1,P1,0.533,FOR,1,0.023891237,144.5689774,0.144568977,67.94741936,0.067947419
68,68,Daniella oliveri,17.88669637,18.1,24.4,P1,0.533,FOR,1,0.02512755,171.2907585,0.171290758,80.50665649,0.080506656
69,69,Eucalyptus calmadalutases,19.12794398,21,26.4,P1,0.73,FOR,1,0.02873601,306.8461735,0.306846173,144.2177015,0.144217702
70,70,Khaya senegalensis,16.00891152,17.5,20.1,P1,0.648,FOR,1,0.020128596,161.5219866,0.161521987,75.91533371,0.075915334
71,71,Khaya senegalensis,13.14449395,26,15.15,P1,0.648,FOR,1,0.01356993,161.7760747,0.161776075,76.03475509,0.076034755
72,72,Khaya senegalensis,16.04073838,14,23.6,P1,0.648,FOR,1,0.02020871,130.4160899,0.13041609,61.29556223,0.061295562
73,73,Azdirachta indica,17.09102482,18.1,22.7,P1,0.57,FOR,1,0.022941726,167.3426157,0.167342616,78.65102939,0.078651029
74,74,Vitex donina,13.46276257,21.3,14.9,P1,0.4,FOR,1,0.014235026,87.13528199,0.087135282,40.95358253,0.040953583
75,75,Albizia zygia,12.95353278,10.3,15.3,P1,0.804,FOR,1,0.013178511,78.60604055,0.078606041,36.94483906,0.036944839
76,76,Khaya senegalensis,12.66709102,17.6,17.1,P1,0.648,FOR,1,0.012602122,102.839019,0.102839019,48.33433895,0.048334339
