,RMSE,RSQUARED,MAPE,BIAS,MAE,AIC,BIC,Accuracy(%)
Power,1.748,0.736,0.175,-0.037,1.385,559.644,568.47,1.43
Curtis,1.754,0.733,0.175,0,1.356,560.621,569.45,4.29
Logistics,1.719,0.744,0.166,-0.016,1.324,556.996,568.76,0.71
Naslund,2.013,0.648,0.215,0,1.638,599.236,608.06,0.71
Chapman,1.695,0.751,0.162,0,1.303,553.041,564.81,2.14
Weibull,1.697,0.75,0.163,-0.005,1.307,553.459,565.23,NA
