,a,b,c
Power,0.634,1.016,-
Curtis,-10.672,7.68,-
Logistics,14.739,12.06,0.225
Naslund,3.885,-0.024,-
Chapman,18.413,0.091,1.987
Weibull,17.068,0.014,1.559
